bootstrap_iteration,statistic,p_value,significant,comparison
240,1.3467980157904424,0.2478569535712008,False,Pre vs Post Inauguration
241,1.8734629997515608,0.1733191332586151,False,Pre vs Post Inauguration
242,1.187381303611497,0.27777138790250416,False,Pre vs Post Inauguration
243,0.2999097958925226,0.5848300781486524,False,Pre vs Post Inauguration
244,1.634606920402025,0.2032286969278763,False,Pre vs Post Inauguration
245,1.553242950587541,0.21478418854190515,False,Pre vs Post Inauguration
246,0.26614693556316454,0.6067598231276938,False,Pre vs Post Inauguration
247,3.221627192090222,0.07487610180661076,False,Pre vs Post Inauguration
248,0.21461581907566282,0.6439084816580871,False,Pre vs Post Inauguration
249,1.8447203216963288,0.17663117980149234,False,Pre vs Post Inauguration
250,1.005065492496808,0.31785533476680405,False,Pre vs Post Inauguration
251,0.11713641432277558,0.7326857644193366,False,Pre vs Post Inauguration
252,0.2635261340727866,0.6085347970057741,False,Pre vs Post Inauguration
253,2.7116686728365104e-05,0.9958527148634981,False,Pre vs Post Inauguration
254,3.9219010200732103,0.049664193110500854,True,Pre vs Post Inauguration
255,0.14079099093925548,0.7080761973287693,False,Pre vs Post Inauguration
256,0.44736366976804304,0.5047150566410958,False,Pre vs Post Inauguration
257,0.0016109251925186649,0.9680428672781473,False,Pre vs Post Inauguration
258,0.3528630192717533,0.5534765106898423,False,Pre vs Post Inauguration
259,0.984766533112928,0.32277432073244383,False,Pre vs Post Inauguration
260,2.6994069887570977,0.1026787910186033,False,Pre vs Post Inauguration
261,0.5412082219623671,0.46319006597374834,False,Pre vs Post Inauguration
262,2.478704230186936,0.11770380210716967,False,Pre vs Post Inauguration
263,0.22232199391303378,0.6380263721350848,False,Pre vs Post Inauguration
264,0.28812702248827055,0.5922939155129572,False,Pre vs Post Inauguration
265,1.0569227495432258,0.30572977129663886,False,Pre vs Post Inauguration
266,2.326202316441465,0.1295171170915293,False,Pre vs Post Inauguration
267,0.009730184768424617,0.921566942095243,False,Pre vs Post Inauguration
268,0.05910622440397729,0.8082778395652654,False,Pre vs Post Inauguration
269,2.234551354653185,0.13725563556946663,False,Pre vs Post Inauguration
270,1.5202023679068546,0.21970034333859204,False,Pre vs Post Inauguration
271,0.20893107155201587,0.6483304781612002,False,Pre vs Post Inauguration
272,0.19019780721180923,0.6634384915204832,False,Pre vs Post Inauguration
273,2.419791997757826,0.12211793817364004,False,Pre vs Post Inauguration
274,0.010732620517641565,0.9176395888453398,False,Pre vs Post Inauguration
275,7.1091402455426485,0.008592192552027561,True,Pre vs Post Inauguration
276,0.48167036249991924,0.48884183274017723,False,Pre vs Post Inauguration
277,0.6942257724799193,0.40618098914176504,False,Pre vs Post Inauguration
278,0.9413246772733737,0.333647193937447,False,Pre vs Post Inauguration
279,0.33085925243312214,0.5660970578864759,False,Pre vs Post Inauguration
280,0.8183072407360552,0.36726356543335414,False,Pre vs Post Inauguration
281,0.0297090920599569,0.8634063232191693,False,Pre vs Post Inauguration
282,0.05571334399636434,0.8137566681955921,False,Pre vs Post Inauguration
283,0.6578658014238583,0.4187212558887794,False,Pre vs Post Inauguration
284,0.8388337208242397,0.36133986683117614,False,Pre vs Post Inauguration
285,3.5436802985993427,0.0618934528432961,False,Pre vs Post Inauguration
286,0.46250665074173986,0.4976024182748463,False,Pre vs Post Inauguration
287,0.03995991405770306,0.8418553928025672,False,Pre vs Post Inauguration
288,0.5726008070314492,0.45052661816392037,False,Pre vs Post Inauguration
289,0.6260680938954848,0.4301689598284547,False,Pre vs Post Inauguration
290,0.519036207297346,0.4724805447233007,False,Pre vs Post Inauguration
291,0.6601161702477101,0.4179285086063399,False,Pre vs Post Inauguration
292,0.09882888479798534,0.7537178031421509,False,Pre vs Post Inauguration
293,0.05971536653213022,0.8073119827199929,False,Pre vs Post Inauguration
294,0.0002572630947700721,0.9872262754086278,False,Pre vs Post Inauguration
295,0.09368249030541559,0.7600114452543679,False,Pre vs Post Inauguration
296,1.0575290783695637,0.3055916119760705,False,Pre vs Post Inauguration
297,0.30655209728517685,0.5807062142240688,False,Pre vs Post Inauguration
298,0.0019210733322521881,0.9651036918110815,False,Pre vs Post Inauguration
299,0.11650926535798053,0.7333747066129035,False,Pre vs Post Inauguration
300,0.05553445219926105,0.8140503744233702,False,Pre vs Post Inauguration
301,0.03324904962220444,0.8555829240381656,False,Pre vs Post Inauguration
302,0.8404972934974639,0.3608656195084571,False,Pre vs Post Inauguration
303,2.531212715929698,0.11391930064546688,False,Pre vs Post Inauguration
304,0.3599406519670714,0.549530237666676,False,Pre vs Post Inauguration
305,1.0700845527584117,0.30274889802575083,False,Pre vs Post Inauguration
306,0.08205011858233446,0.7749708580684505,False,Pre vs Post Inauguration
307,0.7354449003445502,0.3926217025884069,False,Pre vs Post Inauguration
308,0.4427077064453505,0.5069370657195499,False,Pre vs Post Inauguration
309,0.6534837027851287,0.420271433027228,False,Pre vs Post Inauguration
310,2.104690423868415,0.14913384879871466,False,Pre vs Post Inauguration
311,1.3374339697507378,0.24949963100828187,False,Pre vs Post Inauguration
312,0.0006055269874808469,0.9804038766428002,False,Pre vs Post Inauguration
313,0.034108767151682685,0.8537487622868103,False,Pre vs Post Inauguration
314,0.3571427193298959,0.5510839258528328,False,Pre vs Post Inauguration
315,0.0045576005072626,0.9462741253279677,False,Pre vs Post Inauguration
316,3.6087729845925858,0.05957728359537799,False,Pre vs Post Inauguration
317,0.1626685656370506,0.6873401877908853,False,Pre vs Post Inauguration
318,0.013825843481779359,0.9065700123005437,False,Pre vs Post Inauguration
319,0.9384949894937608,0.33437234193477905,False,Pre vs Post Inauguration
320,0.11552761031006137,0.7344572561490148,False,Pre vs Post Inauguration
321,1.4835169704549223,0.2253185903854498,False,Pre vs Post Inauguration
322,0.37933144852313905,0.5389831647253013,False,Pre vs Post Inauguration
323,0.17878925622636693,0.6730787545293097,False,Pre vs Post Inauguration
324,0.1557685794740537,0.6936962968710434,False,Pre vs Post Inauguration
325,0.4377127772419978,0.5093396874176959,False,Pre vs Post Inauguration
326,0.6889495152970884,0.40796595208081077,False,Pre vs Post Inauguration
327,2.4368173935246147,0.12082353361716767,False,Pre vs Post Inauguration
328,2.225497978266147,0.13804799687447022,False,Pre vs Post Inauguration
329,0.012031754501660713,0.9128162533369808,False,Pre vs Post Inauguration
330,0.8829416725304997,0.3490510090376727,False,Pre vs Post Inauguration
331,0.023895185547758456,0.8773794013127075,False,Pre vs Post Inauguration
332,0.24116471477587606,0.6241519154898615,False,Pre vs Post Inauguration
333,0.5935352387061131,0.4423818202665951,False,Pre vs Post Inauguration
334,0.9914902158145845,0.3211338838938823,False,Pre vs Post Inauguration
335,0.8989160848953465,0.34474192367694867,False,Pre vs Post Inauguration
336,0.32550791182333083,0.5692508116021662,False,Pre vs Post Inauguration
337,1.5713497317351834,0.21214608721456832,False,Pre vs Post Inauguration
338,0.20211078739113264,0.653732904553724,False,Pre vs Post Inauguration
339,0.723773692307218,0.39639332625835566,False,Pre vs Post Inauguration
340,0.0005271685853642065,0.9817154664120724,False,Pre vs Post Inauguration
341,0.10356317913622866,0.7480853674167274,False,Pre vs Post Inauguration
342,0.06824555384855861,0.7943008985391368,False,Pre vs Post Inauguration
343,0.030278350635473194,0.8621170140160527,False,Pre vs Post Inauguration
344,0.26246532368979614,0.6092564206242523,False,Pre vs Post Inauguration
345,3.025846942428863,0.08419347631306168,False,Pre vs Post Inauguration
346,0.3529880659725599,0.5534063245559235,False,Pre vs Post Inauguration
347,0.43481624810536085,0.510742009675782,False,Pre vs Post Inauguration
348,0.02537192638092033,0.8736783915343733,False,Pre vs Post Inauguration
349,2.3021967063523414,0.13149533371830138,False,Pre vs Post Inauguration
350,1.2974995419596116,0.2566582656296628,False,Pre vs Post Inauguration
351,1.318116328362048,0.25293115948344114,False,Pre vs Post Inauguration
352,3.721083427158293,0.05579720420541879,False,Pre vs Post Inauguration
353,1.2494371366413521,0.2656163119251748,False,Pre vs Post Inauguration
354,0.0008992119161937742,0.9761211708109091,False,Pre vs Post Inauguration
355,0.4779437675322959,0.4905250169675808,False,Pre vs Post Inauguration
356,0.2880724227344334,0.5923289573038713,False,Pre vs Post Inauguration
357,0.7471037917623541,0.3889056021105274,False,Pre vs Post Inauguration
358,4.366947106810174,0.0384914293139723,True,Pre vs Post Inauguration
359,1.9545757983042344,0.16435396095292074,False,Pre vs Post Inauguration
360,0.012534090372968302,0.9110223574154706,False,Pre vs Post Inauguration
361,1.338567831695176,0.24930001033696997,False,Pre vs Post Inauguration
362,0.7931905812346994,0.3746984758617692,False,Pre vs Post Inauguration
363,1.8880152987176517,0.17166980355034941,False,Pre vs Post Inauguration
364,0.725998862957821,0.3956702099660019,False,Pre vs Post Inauguration
365,0.5874987450500088,0.4447067012294039,False,Pre vs Post Inauguration
366,0.26569390276414667,0.6070658520112957,False,Pre vs Post Inauguration
367,0.04466865953657371,0.8329285407584239,False,Pre vs Post Inauguration
368,0.21529061506790673,0.6433883205422068,False,Pre vs Post Inauguration
369,0.001492005655410613,0.9692444128131368,False,Pre vs Post Inauguration
370,0.08452800217130496,0.7716921350681594,False,Pre vs Post Inauguration
371,2.5390530790504693,0.11336594189926193,False,Pre vs Post Inauguration
372,0.20654707216893986,0.6502066035147893,False,Pre vs Post Inauguration
373,0.08378178958381285,0.77267397305947,False,Pre vs Post Inauguration
374,0.2915312131494841,0.5901175356013433,False,Pre vs Post Inauguration
375,0.900390264312459,0.34434792882041854,False,Pre vs Post Inauguration
376,0.2292474897942701,0.6328456498113414,False,Pre vs Post Inauguration
