bootstrap_iteration,u_statistic,p_value,significant,comparison
338,2303.5,1.0837993705954844e-09,True,Pre-Inauguration vs Entire Period
339,2378.0,3.33239196970039e-09,True,Pre-Inauguration vs Entire Period
340,2471.5,1.3037459830635584e-08,True,Pre-Inauguration vs Entire Period
341,2173.0,1.3992620446820052e-10,True,Pre-Inauguration vs Entire Period
342,2771.5,7.365597282030419e-07,True,Pre-Inauguration vs Entire Period
343,2919.5,4.446592422405203e-06,True,Pre-Inauguration vs Entire Period
344,3331.5,0.00034208611443756014,True,Pre-Inauguration vs Entire Period
345,2691.5,2.6452652369421226e-07,True,Pre-Inauguration vs Entire Period
346,2662.5,1.8074446290081748e-07,True,Pre-Inauguration vs Entire Period
347,2526.0,2.8238439290119044e-08,True,Pre-Inauguration vs Entire Period
348,2567.5,5.021535285025826e-08,True,Pre-Inauguration vs Entire Period
349,2419.5,6.144959036624877e-09,True,Pre-Inauguration vs Entire Period
350,3098.0,3.288286816207331e-05,True,Pre-Inauguration vs Entire Period
351,2605.5,8.425043182643192e-08,True,Pre-Inauguration vs Entire Period
352,2975.0,8.442884913113482e-06,True,Pre-Inauguration vs Entire Period
353,2331.0,1.6480408213487368e-09,True,Pre-Inauguration vs Entire Period
354,2687.0,2.4917565738527207e-07,True,Pre-Inauguration vs Entire Period
355,2707.5,3.254705998608373e-07,True,Pre-Inauguration vs Entire Period
356,2331.0,1.6457055577585682e-09,True,Pre-Inauguration vs Entire Period
357,2941.5,5.749226445707558e-06,True,Pre-Inauguration vs Entire Period
358,3017.0,1.3562730567473182e-05,True,Pre-Inauguration vs Entire Period
359,2246.5,4.4881265378428626e-10,True,Pre-Inauguration vs Entire Period
360,2684.5,2.4133857617586483e-07,True,Pre-Inauguration vs Entire Period
361,2514.0,2.3845305424859435e-08,True,Pre-Inauguration vs Entire Period
362,2460.0,1.1060014988883157e-08,True,Pre-Inauguration vs Entire Period
363,2987.0,9.68113990571199e-06,True,Pre-Inauguration vs Entire Period
364,1844.0,5.157943192134283e-13,True,Pre-Inauguration vs Entire Period
365,2426.5,6.8096680045685e-09,True,Pre-Inauguration vs Entire Period
366,2391.0,4.0418542332432595e-09,True,Pre-Inauguration vs Entire Period
367,2636.5,1.2800863207295466e-07,True,Pre-Inauguration vs Entire Period
368,2202.0,2.224374696477116e-10,True,Pre-Inauguration vs Entire Period
369,3190.5,8.630906859220264e-05,True,Pre-Inauguration vs Entire Period
