bootstrap_iteration,d_statistic,p_value,significant,comparison
238,0.8846790890269152,1.0117821725744263e-28,True,Pre vs Post Inauguration
239,0.8416149068322981,1.9328246846895227e-25,True,Pre vs Post Inauguration
240,0.8407867494824016,2.6595724479267336e-25,True,Pre vs Post Inauguration
241,0.8128364389233954,1.9804827355049364e-23,True,Pre vs Post Inauguration
242,0.8846790890269152,1.0117821725744263e-28,True,Pre vs Post Inauguration
243,0.8842650103519669,1.192263592765821e-28,True,Pre vs Post Inauguration
244,0.913871635610766,1.4659669577383017e-31,True,Pre vs Post Inauguration
245,0.8128364389233954,1.9804827355049364e-23,True,Pre vs Post Inauguration
246,0.8281573498964804,3.5818478787668713e-25,True,Pre vs Post Inauguration
247,0.7838509316770186,1.7232883692462425e-21,True,Pre vs Post Inauguration
248,0.8416149068322981,1.9328246846895227e-25,True,Pre vs Post Inauguration
249,0.8418219461697722,1.4452219371759112e-25,True,Pre vs Post Inauguration
250,0.8126293995859213,2.3481470322555298e-23,True,Pre vs Post Inauguration
251,0.8561076604554866,1.4522960304581176e-26,True,Pre vs Post Inauguration
252,0.8128364389233954,1.9804827355049364e-23,True,Pre vs Post Inauguration
253,0.8132505175983437,1.0789409345782223e-23,True,Pre vs Post Inauguration
254,0.913871635610766,1.4659669577383017e-31,True,Pre vs Post Inauguration
255,0.8412008281573499,2.5361180565893416e-25,True,Pre vs Post Inauguration
256,0.827536231884058,1.3020190092974747e-24,True,Pre vs Post Inauguration
257,0.8412008281573499,2.5361180565893416e-25,True,Pre vs Post Inauguration
258,0.9422360248447205,5.911425577738071e-34,True,Pre vs Post Inauguration
259,0.9712215320910973,3.0598703139028544e-37,True,Pre vs Post Inauguration
260,0.8554865424430642,2.2299136153707975e-26,True,Pre vs Post Inauguration
261,0.7985507246376812,1.5837254517679078e-22,True,Pre vs Post Inauguration
262,0.8271221532091098,2.2550392555595806e-24,True,Pre vs Post Inauguration
263,0.8842650103519669,1.192263592765821e-28,True,Pre vs Post Inauguration
264,0.7985507246376812,1.5837254517679078e-22,True,Pre vs Post Inauguration
265,0.8132505175983437,1.0789409345782223e-23,True,Pre vs Post Inauguration
266,0.7699792960662526,7.975994889434169e-21,True,Pre vs Post Inauguration
267,0.884472049689441,1.145120546192707e-28,True,Pre vs Post Inauguration
268,0.7701863354037267,5.880798229033117e-21,True,Pre vs Post Inauguration
269,0.9279503105590062,1.3818702366597354e-32,True,Pre vs Post Inauguration
270,0.9569358178053831,9.541150585875982e-36,True,Pre vs Post Inauguration
271,0.8846790890269152,1.0117821725744263e-28,True,Pre vs Post Inauguration
272,0.798343685300207,1.9414775697077533e-22,True,Pre vs Post Inauguration
273,0.9134575569358178,3.369783317079472e-31,True,Pre vs Post Inauguration
274,0.8989648033126294,6.735800823411751e-30,True,Pre vs Post Inauguration
275,0.8989648033126294,6.735800823411751e-30,True,Pre vs Post Inauguration
276,0.8128364389233954,1.9804827355049364e-23,True,Pre vs Post Inauguration
277,0.8420289855072464,9.576191896622993e-26,True,Pre vs Post Inauguration
278,0.741407867494824,3.10816595496486e-19,True,Pre vs Post Inauguration
279,0.8273291925465839,1.8052081556307332e-24,True,Pre vs Post Inauguration
280,0.8273291925465839,1.8052081556307332e-24,True,Pre vs Post Inauguration
281,0.8265010351966874,2.8196108962239888e-24,True,Pre vs Post Inauguration
282,0.8563146997929607,9.93464170916501e-27,True,Pre vs Post Inauguration
283,0.7687370600414078,1.601211936808186e-20,True,Pre vs Post Inauguration
284,0.9277432712215321,1.650444523209452e-32,True,Pre vs Post Inauguration
285,0.8418219461697722,1.4452219371759112e-25,True,Pre vs Post Inauguration
286,0.7267080745341615,2.9145145533845405e-18,True,Pre vs Post Inauguration
