bootstrap_iteration,delta,interpretation,comparison
386,-0.4619956208945887,Medium,Pre-Inauguration vs Entire Period
387,-0.57762485663643,Large,Pre-Inauguration vs Entire Period
388,-0.4049629861328329,Medium,Pre-Inauguration vs Entire Period
389,-0.46720884162235427,Medium,Pre-Inauguration vs Entire Period
390,-0.4459389010530706,Medium,Pre-Inauguration vs Entire Period
391,-0.5946199562089459,Large,Pre-Inauguration vs Entire Period
392,-0.5528099259722656,Large,Pre-Inauguration vs Entire Period
393,-0.493170680846627,Large,Pre-Inauguration vs Entire Period
394,-0.5253883849442186,Large,Pre-Inauguration vs Entire Period
395,-0.5627150453550204,Large,Pre-Inauguration vs Entire Period
396,-0.5307058700865395,Large,Pre-Inauguration vs Entire Period
397,-0.4353039307684287,Medium,Pre-Inauguration vs Entire Period
398,-0.37889688249400477,Medium,Pre-Inauguration vs Entire Period
399,-0.537900114690856,Large,Pre-Inauguration vs Entire Period
400,-0.4094463559587113,Medium,Pre-Inauguration vs Entire Period
401,-0.47304764883745176,Medium,Pre-Inauguration vs Entire Period
402,-0.46606193306224586,Medium,Pre-Inauguration vs Entire Period
403,-0.4944218538212908,Large,Pre-Inauguration vs Entire Period
404,-0.4606401835053696,Medium,Pre-Inauguration vs Entire Period
405,-0.47106662496090085,Medium,Pre-Inauguration vs Entire Period
406,-0.44458346366385154,Medium,Pre-Inauguration vs Entire Period
407,-0.46408090918569495,Medium,Pre-Inauguration vs Entire Period
408,-0.47106662496090085,Medium,Pre-Inauguration vs Entire Period
409,-0.3304139297257846,Medium,Pre-Inauguration vs Entire Period
410,-0.4486497758315087,Medium,Pre-Inauguration vs Entire Period
411,-0.562923574184131,Large,Pre-Inauguration vs Entire Period
412,-0.45407152538838497,Medium,Pre-Inauguration vs Entire Period
413,-0.5291419038682098,Large,Pre-Inauguration vs Entire Period
414,-0.4103847356897091,Medium,Pre-Inauguration vs Entire Period
415,-0.369617349598582,Medium,Pre-Inauguration vs Entire Period
416,-0.5142320925868001,Large,Pre-Inauguration vs Entire Period
417,-0.5900323219685122,Large,Pre-Inauguration vs Entire Period
418,-0.308831195912835,Small,Pre-Inauguration vs Entire Period
419,-0.4597018037743718,Medium,Pre-Inauguration vs Entire Period
420,-0.5335210092795329,Large,Pre-Inauguration vs Entire Period
421,-0.4697111875716818,Medium,Pre-Inauguration vs Entire Period
422,-0.34772182254196643,Medium,Pre-Inauguration vs Entire Period
423,-0.45344593890105306,Medium,Pre-Inauguration vs Entire Period
424,-0.38598686268376603,Medium,Pre-Inauguration vs Entire Period
425,-0.33354186216244397,Medium,Pre-Inauguration vs Entire Period
426,-0.2949640287769784,Small,Pre-Inauguration vs Entire Period
