bootstrap_iteration,delta,interpretation,comparison
320,0.48345323741007196,Large,Post-Inauguration vs Entire Period
321,0.4584789311408016,Medium,Post-Inauguration vs Entire Period
322,0.45611510791366905,Medium,Post-Inauguration vs Entire Period
323,0.4578622816032888,Medium,Post-Inauguration vs Entire Period
324,0.3131551901336074,Small,Post-Inauguration vs Entire Period
325,0.5238437821171634,Large,Post-Inauguration vs Entire Period
326,0.4687564234326824,Medium,Post-Inauguration vs Entire Period
327,0.5172661870503598,Large,Post-Inauguration vs Entire Period
328,0.2974306269270298,Small,Post-Inauguration vs Entire Period
329,0.5793422404933196,Large,Post-Inauguration vs Entire Period
330,0.4120246659815005,Medium,Post-Inauguration vs Entire Period
331,0.46238437821171635,Medium,Post-Inauguration vs Entire Period
332,0.48211716341212746,Large,Post-Inauguration vs Entire Period
333,0.4201438848920863,Medium,Post-Inauguration vs Entire Period
334,0.4749229188078109,Large,Post-Inauguration vs Entire Period
335,0.5992805755395684,Large,Post-Inauguration vs Entire Period
336,0.39280575539568346,Medium,Post-Inauguration vs Entire Period
337,0.47266187050359715,Medium,Post-Inauguration vs Entire Period
338,0.44799588900308324,Medium,Post-Inauguration vs Entire Period
339,0.524563206577595,Large,Post-Inauguration vs Entire Period
340,0.42538540596094554,Medium,Post-Inauguration vs Entire Period
341,0.4457348406988695,Medium,Post-Inauguration vs Entire Period
342,0.4840698869475848,Large,Post-Inauguration vs Entire Period
343,0.5637204522096608,Large,Post-Inauguration vs Entire Period
344,0.5157245632065776,Large,Post-Inauguration vs Entire Period
345,0.42692702980472763,Medium,Post-Inauguration vs Entire Period
346,0.5125385405960946,Large,Post-Inauguration vs Entire Period
347,0.5373072970195273,Large,Post-Inauguration vs Entire Period
348,0.4105858170606372,Medium,Post-Inauguration vs Entire Period
349,0.44347379239465573,Medium,Post-Inauguration vs Entire Period
350,0.35364850976361767,Medium,Post-Inauguration vs Entire Period
351,0.5061664953751285,Large,Post-Inauguration vs Entire Period
352,0.44131551901336075,Medium,Post-Inauguration vs Entire Period
353,0.505344295991778,Large,Post-Inauguration vs Entire Period
354,0.5343268242548818,Large,Post-Inauguration vs Entire Period
355,0.3135662898252826,Small,Post-Inauguration vs Entire Period
356,0.5005138746145941,Large,Post-Inauguration vs Entire Period
357,0.47584789311408016,Large,Post-Inauguration vs Entire Period
358,0.5376156217882837,Large,Post-Inauguration vs Entire Period
359,0.4078108941418294,Medium,Post-Inauguration vs Entire Period
360,0.473792394655704,Medium,Post-Inauguration vs Entire Period
361,0.35313463514902366,Medium,Post-Inauguration vs Entire Period
362,0.43268242548818087,Medium,Post-Inauguration vs Entire Period
363,0.3644398766700925,Medium,Post-Inauguration vs Entire Period
364,0.5583761562178828,Large,Post-Inauguration vs Entire Period
365,0.3776978417266187,Medium,Post-Inauguration vs Entire Period
366,0.4528263103802672,Medium,Post-Inauguration vs Entire Period
367,0.4435765673175745,Medium,Post-Inauguration vs Entire Period
368,0.41891058581706064,Medium,Post-Inauguration vs Entire Period
369,0.3955806783144913,Medium,Post-Inauguration vs Entire Period
370,0.4425488180883864,Medium,Post-Inauguration vs Entire Period
